"vid","vcondition","vvin","vstockno","vmake","vmodel","vyear","vtrim","vbody","vmileage","vengine","vcylinders","vfueltype","vtransm","vrprice","vecolor_txt","vicolor_txt","vehicleOptionsBulk","vcomments","export_cfs_photourls"
"7782","Used","2D8GV58295H182031","17099","Dodge","Magnum","2005","","Sedan","","","","","Automatic Trans.","","Black","Gray","","","http://images.autocitymag.com/60/7782/DSC_0676.JPG?dt=201703201320,http://images.autocitymag.com/60/7782/DSC_0676.JPG?dt=201703201321,http://images.autocitymag.com/60/7782/DSC_0677.JPG?dt=201703201321,http://images.autocitymag.com/60/7782/DSC_0678.JPG?dt=201703201321,http://images.autocitymag.com/60/7782/DSC_0679.JPG?dt=201703201321,http://images.autocitymag.com/60/7782/DSC_0680.JPG?dt=201703201323,http://images.autocitymag.com/60/7782/DSC_0681.JPG?dt=201703201323,http://images.autocitymag.com/60/7782/DSC_0682.JPG?dt=201703201323,http://images.autocitymag.com/60/7782/DSC_0683.JPG?dt=201703201323,http://images.autocitymag.com/60/7782/DSC_0684.JPG?dt=201703201323,http://images.autocitymag.com/60/7782/DSC_0685.JPG?dt=201703201323,http://images.autocitymag.com/60/7782/DSC_0686.JPG?dt=201703201323,http://images.autocitymag.com/60/7782/DSC_0687.JPG?dt=201703201323,http://images.autocitymag.com/60/7782/DSC_0688.JPG?dt=201703201323,http://images.autocitymag.com/60/7782/DSC_0689.JPG?dt=201703201341,http://images.autocitymag.com/60/7782/DSC_0690.JPG?dt=201703201341"
"7820","Used","5NPEU46C59H438239","17150","Hyundai","Sonata","2009","","Sedan","","","","","Automatic Trans.","","Black","Black","","","http://images.autocitymag.com/60/7820/DSC_0894.JPG?dt=201706091334,http://images.autocitymag.com/60/7820/DSC_0894.JPG?dt=201706091335,http://images.autocitymag.com/60/7820/DSC_0895.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0896.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0897.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0898.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0899.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0900.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0901.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0902.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0904.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0905.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0906.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0907.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0908.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0909.JPG?dt=201706091337,http://images.autocitymag.com/60/7820/DSC_0912.JPG?dt=201706091339,http://images.autocitymag.com/60/7820/DSC_0913.JPG?dt=201706091339"
"7821","Used","1GNEC13T26118801","17148","Chevrolet","Tahoe","2006","","SUV","","","","","Automatic Trans.","","Black","Gray","","","http://images.autocitymag.com/60/7821/DSC_0915.JPG?dt=201706091349,http://images.autocitymag.com/60/7821/DSC_0915.JPG?dt=201706091351,http://images.autocitymag.com/60/7821/DSC_0916.JPG?dt=201706091351,http://images.autocitymag.com/60/7821/DSC_0917.JPG?dt=201706091351,http://images.autocitymag.com/60/7821/DSC_0918.JPG?dt=201706091351,http://images.autocitymag.com/60/7821/DSC_0919.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0920.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0921.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0922.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0923.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0924.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0926.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0927.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0928.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0929.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0930.JPG?dt=201706091354,http://images.autocitymag.com/60/7821/DSC_0933.JPG?dt=201706091354"
"7822","Used","1J4GX48S11C675020","17139","Jeep","Cherokee","2001","","SUV","112212","","","","Automatic Trans.","","White","Gray","","","http://images.autocitymag.com/60/7822/DSC_0936.JPG?dt=201706091405,http://images.autocitymag.com/60/7822/DSC_0936.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0937.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0938.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0939.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0940.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0941.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0942.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0943.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0944.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0946.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0947.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0948.JPG?dt=201706091409,http://images.autocitymag.com/60/7822/DSC_0950.JPG?dt=201706091409"
"7825","Used","1GNEC13Z43J226738","17157","Chevrolet","Tahoe","2003","","SUV","","","","","Automatic Trans.","","White","Tan","","","http://images.autocitymag.com/60/7825/DSC_0966.JPG?dt=201706130946,http://images.autocitymag.com/60/7825/DSC_0966.JPG?dt=201706130947,http://images.autocitymag.com/60/7825/DSC_0967.JPG?dt=201706130947,http://images.autocitymag.com/60/7825/DSC_0968.JPG?dt=201706130947,http://images.autocitymag.com/60/7825/DSC_0969.JPG?dt=201706130947,http://images.autocitymag.com/60/7825/DSC_0970.JPG?dt=201706130947,http://images.autocitymag.com/60/7825/DSC_0971.JPG?dt=201706130949,http://images.autocitymag.com/60/7825/DSC_0972.JPG?dt=201706130949,http://images.autocitymag.com/60/7825/DSC_0973.JPG?dt=201706130949,http://images.autocitymag.com/60/7825/DSC_0974.JPG?dt=201706130949,http://images.autocitymag.com/60/7825/DSC_0976.JPG?dt=201706130949,http://images.autocitymag.com/60/7825/DSC_0977.JPG?dt=201706130949,http://images.autocitymag.com/60/7825/DSC_0978.JPG?dt=201706130949,http://images.autocitymag.com/60/7825/DSC_0979.JPG?dt=201706130949,http://images.autocitymag.com/60/7825/DSC_0980.JPG?dt=201706130949,http://images.autocitymag.com/60/7825/DSC_0981.JPG?dt=201706130951,http://images.autocitymag.com/60/7825/DSC_0982.JPG?dt=201706130951,http://images.autocitymag.com/60/7825/DSC_0983.JPG?dt=201706130951,http://images.autocitymag.com/60/7825/DSC_0984.JPG?dt=201706130951,http://images.autocitymag.com/60/7825/DSC_0985.JPG?dt=201706130951"
"7826","Used","5NPDH4AE3BH008272","17155","Hyundai","Elantra","2011","","Sedan","","","","","Automatic Trans.","","Blue","Gray","","","http://images.autocitymag.com/60/7826/DSC_0987.JPG?dt=201706131001,http://images.autocitymag.com/60/7826/DSC_0987.JPG?dt=201706131002,http://images.autocitymag.com/60/7826/DSC_0988.JPG?dt=201706131002,http://images.autocitymag.com/60/7826/DSC_0989.JPG?dt=201706131002,http://images.autocitymag.com/60/7826/DSC_0990.JPG?dt=201706131002,http://images.autocitymag.com/60/7826/DSC_0991.JPG?dt=201706131004,http://images.autocitymag.com/60/7826/DSC_0992.JPG?dt=201706131004,http://images.autocitymag.com/60/7826/DSC_0995.JPG?dt=201706131004,http://images.autocitymag.com/60/7826/DSC_0996.JPG?dt=201706131004,http://images.autocitymag.com/60/7826/DSC_0997.JPG?dt=201706131004,http://images.autocitymag.com/60/7826/DSC_0998.JPG?dt=201706131004,http://images.autocitymag.com/60/7826/DSC_0999.JPG?dt=201706131004,http://images.autocitymag.com/60/7826/DSC_1000.JPG?dt=201706131004,http://images.autocitymag.com/60/7826/DSC_1001.JPG?dt=201706131008,http://images.autocitymag.com/60/7826/DSC_1002.JPG?dt=201706131008"
"7828","Used","1G1ZK577484304138","17162","Chevrolet","Malibu","2008","","Sedan","","","","","Automatic Trans.","","Gray Dark","Brown","","","http://images.autocitymag.com/60/7828/DSC_1015.JPG?dt=201706151612,http://images.autocitymag.com/60/7828/DSC_1015.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1017.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1020.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1022.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1027.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1029.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1030.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1031.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1033.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1035.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1036.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1037.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1038.JPG?dt=201706151616,http://images.autocitymag.com/60/7828/DSC_1040.JPG?dt=201706151616"
"7829","Used","KMHDU4AD2AU898802","17149","Hyundai","Elantra","2010","","Sedan","","","","","Automatic Trans.","","Gray Dark","Gray","","","http://images.autocitymag.com/60/7829/DSC_1041.JPG?dt=201706191112,http://images.autocitymag.com/60/7829/DSC_1041.JPG?dt=201706191113,http://images.autocitymag.com/60/7829/DSC_1042.JPG?dt=201706191113,http://images.autocitymag.com/60/7829/DSC_1043.JPG?dt=201706191113,http://images.autocitymag.com/60/7829/DSC_1044.JPG?dt=201706191113,http://images.autocitymag.com/60/7829/DSC_1045.JPG?dt=201706191113,http://images.autocitymag.com/60/7829/DSC_1046.JPG?dt=201706191115,http://images.autocitymag.com/60/7829/DSC_1047.JPG?dt=201706191115,http://images.autocitymag.com/60/7829/DSC_1049.JPG?dt=201706191115,http://images.autocitymag.com/60/7829/DSC_1051.JPG?dt=201706191115,http://images.autocitymag.com/60/7829/DSC_1054.JPG?dt=201706191115,http://images.autocitymag.com/60/7829/DSC_1055.JPG?dt=201706191115,http://images.autocitymag.com/60/7829/DSC_1058.JPG?dt=201706191129,http://images.autocitymag.com/60/7829/DSC_1059.JPG?dt=201706191129"
"7831","Used","3GNCA23B39S544850","17132","Chevrolet","HHR","2009","","SUV","","","","","Automatic Trans.","","Gray","Gray","","","http://images.autocitymag.com/60/7831/DSC_1077.JPG?dt=201706191702,http://images.autocitymag.com/60/7831/DSC_1077.JPG?dt=201706191704,http://images.autocitymag.com/60/7831/DSC_1078.JPG?dt=201706191704,http://images.autocitymag.com/60/7831/DSC_1079.JPG?dt=201706191704,http://images.autocitymag.com/60/7831/DSC_1080.JPG?dt=201706191704,http://images.autocitymag.com/60/7831/DSC_1081.JPG?dt=201706191704,http://images.autocitymag.com/60/7831/DSC_1082.JPG?dt=201706191704,http://images.autocitymag.com/60/7831/DSC_1083.JPG?dt=201706191704,http://images.autocitymag.com/60/7831/DSC_1084.JPG?dt=201706191704,http://images.autocitymag.com/60/7831/DSC_1086.JPG?dt=201706191705,http://images.autocitymag.com/60/7831/DSC_1087.JPG?dt=201706191705,http://images.autocitymag.com/60/7831/DSC_1088.JPG?dt=201706191705,http://images.autocitymag.com/60/7831/DSC_1089.JPG?dt=201706191705,http://images.autocitymag.com/60/7831/DSC_1090.JPG?dt=201706191705"
"7832","Used","KM8NU13C07U019152","17164","Hyundai","Azera","2007","","SUV","","","","","Automatic Trans.","","Beige","Brown","","","http://images.autocitymag.com/60/7832/DSC_1094.JPG?dt=201706191708,http://images.autocitymag.com/60/7832/DSC_1094.JPG?dt=201706191709,http://images.autocitymag.com/60/7832/DSC_1095.JPG?dt=201706191709,http://images.autocitymag.com/60/7832/DSC_1096.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1097.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1098.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1099.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1103.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1105.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1106.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1107.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1109.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1111.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1112.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1114.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1115.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1116.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1117.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1118.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1119.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1120.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1121.JPG?dt=201706200822,http://images.autocitymag.com/60/7832/DSC_1122.JPG?dt=201706200822"
